Titulo,Director,Pais,Año,Genero,Duración (Minutos),Protagonistas,Idioma,Producción,Guion,Música,Fotografía,Vestuario,Productora,Presupuesto (Dólares),Recaudación (Dólares),Ganador
Lacombe Lucien,Louis Malle,Francia,1974,Drama,138,"Pierre Blaise, Aurore Clément",Francés,"Louis Malle, Claude Nedjar","Louis Malle, Patrick Modiano",Django Reinhardt,Tonino Delli Colli,,"Nouvelles Éditions de Films, Paramount Pictures​Vides Cinematografica​Hallelujah Film​",,,0
La tregua,Sergio Renán,Argentina,1974,"Drama, Romántica",108,"Héctor Alterio, Luis Brandoni, Ana María Picchio, Marilina Ross, Aldo Barbero Juan José Camero, Luis Politti, Carlos Carella, Antonio Gasalla Cipe Lincovsky, Oscar Martínez, Norma Aleandro",Castellano rioplatense,"Marta Juana del Carril Aldao, Rosa Zemborain","Aída Bortnik, Sergio Renán",Julián Plaza,Juan Carlos Desanzo,Tita Tamames,Tamames-Zemborain,,,0
Dersu Uzala,Akira Kurosawa,Unión Soviética,1975,"Aventuras, Drama",144,"Maxim Munzuk, Yuri Solomin, Svetlana Danílchenko",ruso,"Yoichi Matsue, Nikolái Sizov","Vladímir Arséniev, Akira Kurosawa, Yuri Naguibin",Isaak Shvarts,"Asakazu Nakai, Yuriy Gantman, Fyodor Dobronravov",,Mosfilm,,,1
Ziemia obiecana,Andrzej Wajda,Polonia,1975,Cine histórico,179,"53 personas, Daniel Olbrychski, Wojciech Pszoniak, Andrzej Seweryn, Kalina Jędrusik, Bożena Dykiel, Franciszek Pieczka, Kazimierz Opaliński, Andrzej Łapicki, Zbigniew Zapasiewicz, Piotr Fronczewski, Jerzy Zelnik, Marek Walczewski, Emilia Krakowska, Wojciech Siemion, Anna Nehrebecka, Andrzej Szalawski, Stanisław Igar, Tadeusz Białoszczyński, Jerzy Nowak, Maciej Góraj, Grażyna Michalska, Włodzimierz Boruński, Danuta Wodyńska, Marian Glinka, Jadwiga Andrzejewska, Aleksander Dzwonkowski, Kazimierz Wichniarz, Zdzisław Kuźniar, Halina Gryglaszewskasin etiquetar, Lidia Korsakówna, Bernard Ladysz, Bogusław Sochnacki, Bohdana Majda, Kazimierz Kaczor, Teodor Gendera, Jerzy Przybylski, Mieczysław Waśkowski, Jan Paweł Kruk, Alicja Sobieraj, Krzysztof Majchrzak, Janina Grzegorczyk, Janina Tur-Kiryłow, Ryszard Bromowicz, Witold Dederko, Tomasz Lengren, Jerzy Braszka, Mariola Kukuła, Jerzy Stasiuk, Lena Wilczyńska, Zofia Wilczyńska, Andrzej Wohl, Teresa Budzisz-Krzyzanowska",Polaco,,"Andrzej Wajda, Władysław Reymont",Wojciech Kilar,"Witold Sobociński, Edward Kłosiński",Barbara Ptak,,,,0
Actas de Marusia,Miguel Littín,México,1975,Drama,110,"Gian María Volonté, Arturo Beristain, Diana Bracho",Español,Arturo Feliu,Miguel Littín,Mikis Theodorakis,Jorge Stahl Jr.,,Corporación Nacional Cinematográfica,,,0
Sandakan hachibanshokan bohkyo,Kei Kumai,Japón,1975,"Drama, historia, bélico",120,"Kinuyo Tanaka, Komaki Kurihara, Takiko Mizunoe, Eitaro Ozawa",japonés,Masayuki Satô - Hideyuki Shiino,Sakae Hirosawa - Kei Kumai,Akira Ifukube,Mitsuji Kanau,,Tōhō,,,0
Perfume de mujer,Dino Risi,Italia,1975,"Comedia, drama",102,"Vittorio Gassman, Alessandro Momo, Agostina Belli",Italiano,"Pio Angeletti, Adriano De Micheli","Ruggero Maccari, Dino Risi",Armando Trovaioli,Claudio Cirillo,,,,,0
La victoire en chantant,Jean-Jacques Annaud,Francia,1976,Comedia negra,90,"11 personas, Jean Carmet, Jacques Dufilho, Peter Berling, Catherine Rouvel, Jacques Spiesser, Dora Doll, Dieter Schidor, Claude Legros, Jacques Monnet, Marc Zuber, Maurice Barrier",Francés,"Jacques Perrin, Arthur Cohn",Georges Conchon,Pierre Bachelet,Claude Augostini,,"France 3 Cinéma, Reggane Films, Smart Film Produktion, Société Française de Production, Société Ivoirienne de Cinema",,,1
"Cousin, cousine",Jean-Charles Tacchella,Francia,1976,"Drama, Comedia, Romance",95,"Marie-Christine Barrault, Victor Lanoux, Marie-France Pisier",francés,Daniel Toscan du Plantier,Jean-Charles Tacchella Danièle Thompson,Gérard Anfosso,,,,400000,87000000,0
Siete bellezas,Lina Wertmüller,Italia,1976,Drama,115,"Giancarlo Giannini, Fernando Rey, Shirley Stoler, Elena Fiore",Italiano,"Arrigo Colombo, Lina Wertmüller",Lina Wertmüller,Enzo Jannacci,Tonino Delli Colli,,,,,0
Madame Rosa,Moshé Mizrahi,Francia,1977,Drama,105,"11 personas, Simone Signoret, Michal Bat-Adam, Abder El Kebir, Bernard Lajarrige, Claude Dauphin, Costa-Gavras, Gabriel Jabbour, Geneviève Fontanel, Ibrahim Seck, Mohamed Zinet, Théo Légitimus",Francés,Ralph Baum,Moshé Mizrahi,Philippe Sarde,Néstor Almendros,Jacques Fonteray,,,,1
Mivtsa Yonatan,Menahem Golan,Israel,1977,"Acción, drama, historia",124,"Yehoram Gaon, Gila Almagor, Assi Dayán, Sybil Danning, Klaus Kinski, Uzi Cohen",Inglés,"Sybil Danning, Yoram Globus, Menahem Golan","Ken Globus, Menahem Golan, Clarke Reynolds",Dov Seltzer,Adam Greenberg,Rochelle Zaltzman,,25000000,,0
Una jornada particular,Ettore Scola,"Italia, Canadá",1977,Drama,110,Marcello Mastroianni Sophia Loren John Vernon Alessandra Mussolini Françoise Berd Patrizia Basso Tiziano De Persio Maurizio Di Paolantonio Antonio Garibaldi Vittorio Guerrieri Nicole Magny,Italiano,Carlo Ponti,Maurizio Costanzo Ruggero Maccari Ettore Scola,Armando Trovaioli,Pasqualino De Santis,Enrico Sabbatini,Compagnia Cinematografica Champion Canafox,,,0
Ese oscuro objeto del deseo,Luis Buñuel,Francia,1977,Drama,104,"Fernando Rey, Carole BouquetÁngela Molina, Julien Bertheau, André Weber, María Asquerino",Francés,Serge Silberman,"Luis Buñuel, Jean-Claude Carrière",Richard Wagner,Edmond Richard,Sylvie De Segonzac,"Greenwich Film Productions, Les Films Galaxie, In-Cine Compañía Industrial Cinematográfica",,55261,0
Magyarok,Zoltán Fábri,Hungría,1978,Drama,107,Gábor Koncz,Húngaro,,"József Balázs, Zoltán Fábri",György Vukán,György Illés,,Mafilm,,,0
"Bim, mi mejor amigo",Stanislav Rostotsky,Unión Soviética,1978,Drama,182,"Vyacheslav Tikhonov, Stiv, Dendy",Ruso,Yakov Sapozhnikov,Stanislav Rostotsky,Andréi Petrov,Vyacheslav Shumsky,Elza Rapoport,Gorky Film Studios,,,0
El tambor de hojalata,Volker Schlöndorff,"Alemania, Polonia, Francia",1979,Drama,142,"Mario Adorf, Angela Winkler, David Bennent, Daniel Olbrychski, Katharina Thalbach, Charles Aznavour","Alemán, polaco, hebreo e italiano","Franz Seitz, Anatole Dauman","Volker Schlöndorff, Jean-Claude Carrière, Franz Seitz",Maurice Jarre,Igor Luther,,Jadran Film  Franz Seitz Filmproduktion,,25000000,1
Las señoritas de Wilko,Andrzej Wajda,Polonia,1979,Drama,118,Daniel Olbrychski  Anna Seniuk  Maja Komorowska,polaco,Allan Starski,Zbigniew Kaminski,Karol Szymanowski,Edward Kłosiński,,Bayerischer Rundfunk   Roxy Film  Solaris Film,,,0
Mamá cumple cien años,Carlos Saura,España,1979,Comedia,94,Geraldine Chaplin Fernando Fernán Gómez  Rafaela Aparicio Amparo Muñoz Charo Soriano,Español,Elías Querejeta,Carlos Saura  Rafael Azcona,Luis de Pablo,Teo Escamilla,,,,,0
Moscú no cree en las lágrimas,Vladímir Menshov,la Unión Soviética,1980,"Comedia, drama, romance",148,"Vera Aléntova, Irina Muravyova, Raísa Ryazánova, Oleg Tabakov",Ruso,,Valentín Chernyj,Serguéi Nikitin,Ígor Slabnévich,,Mosfilm,,,1
Bizalom,István Szabó,Hungría,1980,Drama,105,"Ildikó Bánsági, Péter Andorai, Oszkárné Gombik",Húngaro,,István Szabó,Tibor Polgar,Lajos Koltai,,Mafilm,,,0
Kagemusha,Akira Kurosawa,Japón,1980,Drama,159,"Tatsuya Nakadai, Tsutomu Yamazaki, Kenichi Hagiwara, Jinpachi Nezu, Hideji Otaki, Daisuke Ryu, Masayuki Yui, Kaori Momoi",Japonés,"Akira Kurosawa, Francis Ford Coppola, George Lucas20th century Fox","Masato Ide, Akira Kurosawa",Shinichirô Ikebe,Takao SaitôMasaharu Ueda,,,,,0
El último metro,François Truffaut,Francia,1980,"Drama, romántico",131,Catherine Deneuve Gérard Depardieu Heinz Bennent Jean Poiret Andréa Ferréol Paulette Dubost Sabine Haudepin Jean-Louis Richard Maurice Risch Jean-Pierre Klein Richard Bohringer Christian Baltauss László Szabó,francés,François Truffaut,"François Truffaut, Suzanne Schiffman, Jean-Claude Grumberg",Georges Delerue,Néstor Almendros,,Les Films du Carrosse Sédif Productions TF1 Films Production Société Française de Production,,,0
El nido,Jaime de Armiñán,España,1980,Drama,97,"Héctor Alterio, Ana Torrent, Luis Politti, Agustín González, Patricia Adriani, María Luisa Ponte, Mercedes Alonso, Luisa Rodrigo, Amparo BaróOvidi Montllor, Mauricio Calvo",español,,Jaime de Armiñán,,Teo Escamilla,,,,,0
Mefisto,István Szabó,Hungría,1981,Drama,144,"Klaus Maria Brandauer, Krystyna Janda, Ildikó Bánsági",Húngaro,Manfred Durniok,"Péter Dobai, Klaus Mann, István Szabó",Zdenko Tamássy,Lajos Koltai,,,,,1
Das Boot ist voll,Markus Imhoof,Suiza,1981,Drama,101,"Tina Engel, Hans Diehl, Curt Bois, Mathias Gnädinger, Michael Gempart",Alemán,George Reinhart,"Markus Imhoof, Alfred A. Haesler",,Hans Liechti,,,,,0
El hombre de hierro,Andrzej Wajda,Polonia,1981,Drama,153,"Jerzy Radziwiłowicz, Krystyna Janda, Marian Opania​",Polaco,Barbara Pec-Ślesicka,Aleksander Ścibor-Rylski,Andrzej Korzyński,Edward Kłosiński,Wiesława Starska,Zespół Filmowy “X”,,,0
Tres hermanos,Francisco Joaquín Paparella,Argentina,1981,Drama,86,,Español,"Paula Orlando Esteban Lucangioli Francisco Joaquín Paparella, Marcelo Scoccia  Araquen Rodriguez","Lautaro Gimenez Lini, Francisco Joaquín Paparella",,Roman Kasseroller,Marina Claypole,"Ecstasy Cine, Pelicano Cine, Río Azul Films",,,0
Volver a empezar,José Luis Garci,España,1982,Drama,87,"Antonio Ferrandis, Encarna Paso, José Bódalo, Agustín González, Pablo Hoyos, Marta Fernández Muro, Pablo del Hoyo, Alfonso Cabeza, Manuel Vega-Arango",Español,José Luis Merino,"Ángel Llorente, José Luis Garci","Johann Pachelbel, Cole Porter",Manuel Rojas,,Nickelodeon,40000000,190713512,1
Alsino y el cóndor,Miguel Littín,"Nicaragua, México, Cuba, Costa Rica",1982,Drama bélico,89,"Dean Stockwell, Alan Esquivel, Alejandro Parodi",español,"Hernan Littín, Ramiro Lacayo","Miguel Littín, Tomás Pérez Turrent, Isadora Aguirre",Leo Brouwer,"Jorge Herrera, Pablo Martínez",,Instituto Cubano de Arte e Industria Cinematográficos,,,0
Coup de torchon,Bertrand Tavernier,Francia,1982,Comedia,128,"16 personas, Philippe Noiret, Isabelle Huppert, Jean-Pierre Marielle, Stéphane Audran, Daniel Langlet, Eddy Mitchell, François Perrot, Gérard Hernandez, Guy Marchand, Irène Skobline, Jean Champion, Max Ernst, Michel Beaune, Paul Grimault, Raymond Hermantier, Victor Garrivier",Francés,Adolphe Viezzi,"Bertrand Tavernier, Jean Aurenche",Philippe Sarde,Pierre-William Glenn,Jacqueline Moreau,Little Bear,,16500000,0
El vuelo del águila,,,1982,,21,"Manuel Ojeda, Jacqueline Andere, Humberto Zurita, Mariana Levy, Laura Flores, Salvador Sánchez Patricia Reyes Spíndola, Aarón Hernán, Ernesto Gómez Cruz, Alma Delfina, Eugenio Cobo, Claudio Brook, Diana Bracho, Luis Bayardo, Frank Moro, Mario Iván Martínez",,,,,,,,,,0
Vida privada,Yuli Raizman,Unión Soviética,1982,Drama,102,"Mikhail Ulyanov, Iya Savvina, Irina Gubanova, Tatyana Dogileva",Ruso,,"Anatoli Grebnev, Yuli Raizman",Vyacheslav Ganelin,"Emil Gulidov, Valentin Piganov",,Mosfilm,,,0
Fanny y Alexander,Ingmar Bergman,Suecia,1983,Drama,188,"Pernilla Allwin Bertil Guve, Börje Ahlstedt, Harriet Andersson Pernilla August, Mats Bergman, Gunnar Björnstrand, Allan Edwall, Stina Ekblad, Ewa Fröling, Erland Josephson, Jarl Kulle, Käbi Laretei, Mona Malm, Jan MalmsjöChristina Schollin, Anna Bergman",Sueco,Katinka Faragó  Jörn Donner.,Ingmar Bergman,"Daniel Bell Schumann:  Quinteto para piano y cuerda en Mi bemol mayor, op. 44; II: In modo d'una marcia, Britten:  Suites para chelo, op. 72, 80 y 87Chopin:  Marcha fúnebre de la Sonata núm. 2 en Si bemol menor, op. 35",Sven Nykvist,Marik Vos-Lundh,"Cinematograph för Filminstitutet, Sveriges Television-1Gaumont, Personalfilm, Tobis Filmkunst",,6795771,1
Carmen,Carlos Saura,España,1983,Musical,102,"Antonio Gades, Laura del Sol, Paco de Lucía, Pepa Flores, Cristina Hoyos, Juan Antonio Jiménez, José Yepes",Español,Emiliano Piedra,"Carlos Saura, Antonio Gades","Paco de Lucía, Georges Bizet",Teodoro Escamilla,Teresa Nieto,Televisión Española,,,0
Entre nosotras,Diane Kurys,Francia,1983,Drama,110,"Miou-Miou, Isabelle Huppert, Guy Marchand",Francés,Ariel Zeitoun,"Olivier Cohen, Diane Kurys, Alain Le Henry",Luis Enríquez Bacalov,Bernard Lutic,,,,,0
Jób lázadása,"Imre Gyöngyössy, Barna Kabay",Hungría,1983,Drama,94,"Ferenc Zenthe, Hédi Temessy, László Gálffi, Flóra Kádár",Húngaro,,"Imre Gyöngyössy, Katalin Petényi, Barna Kabay",Zoltán Jeney,Gábor Szabó,,,,,0
El baile,Ettore Scola,Francia,1983,Musical,110,"Francesco De Rosa, Rossana Di Lorenzo, Monica Scattini, Marc Berman, Geneviève Rey-Penchenat, Christophe Allwright, Jean-Claude Penchenat, Jean-François Perrier",,"Mohammed Lakhdar-Hamina, Giorgio Silvagni","Ruggero Maccari, Furio Scarpelli, Ettore Scola, Jean-Claude Penchenat",Vladimir Cosma,Ricardo Aronovich,Ezio Altieri,,,,0
La diagonal del loco,Richard Dembo,Suiza,1984,"Drama, Deportes",110,"Michel Piccoli, Leslie Caron, Liv Ullmann, Alexandre Arbatt, Daniel Olbrychski, Michel Aumont, Serge Avedikian, Pierre Michael",Francés,"Arthur Cohn, Martine Marignac",Richard Dembo,Gabriel Yared,Raoul Coutard,Pierre Albert,Arthur Cohn Productions,,,1
Camila,María Luisa Bemberg,Argentina,1984,Histórica,105,"Susú Pecoraro, Imanol Arias, Héctor Alterio",Español,"Lita Stantic, Clara Zappettini","María Luisa Bemberg, Beda Docampo Feijóo, Juan Bautista Stagnaro",Luis María Serra,Fernando Arribas,,,,,0
Sesión continua,José Luis Garci,España,1984,Drama,96,"Adolfo Marsillach, Jesús Puente, Encarna Paso, Emma Suárez, José Bódalo, Víctor Valverde, Yolanda Ríos, Rafael Hernández",Español,José Luis Garci,"José Luis Garci, Horacio Valcárcel",Jesús Gluck,Manuel Rojas,,Nickel Odeon Producciones,70000000,,0
La historia oficial,Luis Puenzo,Argentina,1985,Drama,115,"Norma Aleandro, Héctor Alterio, Chunchuna Villafañe, Hugo Arana, Chela Ruiz, Guillermo Battaglia",Español,"Oscar Kramer, Marcelo Piñeyro","Aída Bortnik, Luis Puenzo","Atilio Stampone, Canción:«El país del nomeacuerdo», de María Elena Walsh",Félix Monti,Ticky García Estévez,"Historias Cinematográficas Cinemania, Progress Communications",,29426,1
Colonel Redl,István Szabó,Austria,1985,Drama,144,"28 personas, Klaus Maria Brandauer, Gudrun Landgrebe, Armin Mueller-Stahl, Hans Christian Blech, Jan Niklas, András Bálint, László Gálffi, Dorottya Udvaros, Károly Eperjes, Flóra Kádár, Péter Andorai, Gábor Ferenczi, Sándor SimóPéter Dobai, Tamás Andor, Can Togay, Edward Żentara, Gyula Gazdag, György Bánffy, Róbert Rátonyi, Pál Sándor, Béla Fáy, Sándor HorváthÁdám Horváth, Lajos Mezey, Teri Tordai, Pál Zolnay, Pálfi Zoltán",Alemán,Manfred Durniok,István SzabóPéter Dobai,Zdenko Tamássy,Lajos Koltai,,"Österreichischer Rundfunk, ZDF",,,0
Trois hommes et un couffin,Coline Serreau,Francia,1985,Comedia,100,"Roland Giraud, Michel Boujenah, André Dussollier, Philippine Leroy-Beaulieu",francés,,Coline Serreau,"Jean-Jacques Bouhon, Jean-Yves Escoffier","Jean-Yves Escoffier, Jean-Jacques Bouhon",,"Flach Films, Soprofilms, TF1",,,0
Papá está en viaje de negocios,Emir Kusturica,Yugoslavia,1985,Comedia,136,"Moreno D'E Bartolli, Miki ManojlovićMirjana KaranovićMustafa NadarevićMira Furlan, Davor DujmovićPredrag LakovićPavle Vujisić",serbocroata,Mirza Pašić,Abdulah Sidran,Zoran Simjanović,Vilko Filač,,Forum Films & Otras,,41184,0
El asalto,Fons Rademakers,Países Bajos,1986,Cine bélico,155,"Derek de Lint, Marc van Uchelen, Monique van de Ven",Neerlandés,Fons Rademakers,"Harry Mulisch, Gerard Soeteman",Jurriaan Andriessen,Theo van de Sande,,The Cannon Group,,,1
Betty Blue,Jean-Jacques Beineix,Francia,1986,Drama,120,"Jean-Hugues Anglade, Béatrice Dalle, Gérard Darmon, Consuelo De Haviland, Jacques Mathou, Clémentine Célarié",Francés,"Jean-Jacques Beineix, Claudie Ossard","Philippe Djian, Jean-Jacques Beineix","Gabriel Yared, Contiene obras de Franz Schubert",Jean-François Robin,Elisabeth Tavernier,"Gaumont, Cargo Films",,,0
El declive del imperio americano,Denys Arcand,Canadá,1986,Comedia/drama,101,"Dominique Michel, Dorothée Berryman, Louise Portal, Pierre Curzi, Rémy Girard",francésinglés,"René Malo, Roger Frappier",Denys Arcand,François Dompierre,Guy Dufaux,Denis Sperdouklis,National Film Board of Canada,,,0
El festín de Babette,Gabriel Axel,Dinamarca,1987,Drama,102,"Stéphane Audran, Birgitte Federspiel, Bodil Kjer",danésfrancéssueco,"Just Betzer, Bo Christensen, Benni Korzen, Pernille Siesbye","Gabriel Axel, Karen Blixen",Per Nørgård,Henning Kristiansen,,Nordisk Film,,,1
"Adiós, muchachos",Louis Malle,Francia,1987,Drama,104,"Gaspard Manesse, Rapahel FetjöPhilippe Morier-Genoud, Francine Racette",francés,Louis Malle,Louis Malle,"Franz Schubert, Camille Saint-Saëns",Renato Berta,Corinne Jorry,,,,0
Asignatura aprobada,José Luis Garci,España,1987,Drama,85,"Jesús Puente, Victoria Vera, Teresa Gimpera, Eduardo Hoyo, Pastor Serrador, Ana Rosa Quintana",Español,José Luis Garci,"José Luis Garci, Horacio Valcárcel","Jesús Gluck, Johann Strauss",Manuel Rojas,,Nickel Odeon Dos,150000000,,0
La familia,Ettore Scola,Italia,1987,Drama,137,"Vittorio Gassman, Stefania Sandrelli, Fanny Ardant, Sergio Castellitto, Athina Cenci, Jo Champa",Italiano,Franco Committeri,"Ruggero Maccari, Ettore Scola, Furio Scarpelli",Armando Trovajoli,Ricardo Aronovich,Gabriella Pescucci,Cinecittà,,,0
Pathfinder,Nils Gaup,Noruega,1987,Aventuras,83,"Nils-Aslak ValkeapääMikkel Gaup, Helgi Skúlason, Sverre Porsanger, Svein Scharffenberg, Nils Utsi, Sara Marit Gaup, Inger Elin Utsi",Sami septentrional,John M. Jacobsen,Nils Gaup,Nils-Aslak Valkeapää,Erling Andersen Thurmann,,"Norsk Film, Norway Film Development Company, Filmkameratene, Mayco AS",,,0
Pelle el conquistador,Bille August,"Suecia, Dinamarca",1988,Drama,157,"Pelle Hvenegaard, Max von Sydow, Erik Paaske, Bjorn Granath, Astrid Villaume, Axel Strobye, Troels Asmussen, Kristina Torquins, Karen Wagener, Sofie Gråbøl, Lars Simonen, Buster Larsen, John Witting, Troels Munk, Nils Bank-Mikkelsen, Lena-Pia Bernardsson, Anna Lise Hirsch, Vilheln Weber, Merete Holst Hansen, Morgens Dester, Tine Stocholm",Sueco,Per Holst,"Martin Andersen NexøBille August, Per Olov Enquist, Bjarne Reuter",Stefan Nilsson,Jörgen Persson,Kiki Llander,"Svensk Filmindustri, Per Holst Filmproduktion, Odyssey Entertainment",,,1
Hanussen,István Szabó,Hungría,1988,Drama,140,"Klaus Maria Brandauer, Erland Josephson, Walter Schmidinger",Húngaro,Artur Brauner,"Péter Dobai, István Szabó",György Vukán,Lajos Koltai,Nelly Vágó,,59701,82635,0
Salaam Bombay!,Mira Nair,"India, Francia, Reino Unido",1988,Drama,113,"Shafiq Syed, Hansa Vithal, Chanda Sharma, Raghuvir Yadav, Anita Kanwar y Nana Patekar",Hindi,Mira Nair,Mira Nair y Sooni Taraporevala,L. Subramaniam,Sandi Sissel,,"Mirabai Films, NFDC, Doordarshan, Forum Films",,,0
Mujeres al borde de un ataque de nervios,Pedro Almodóvar,España,1988,Comedia,88,"Carmen Maura, Antonio Banderas, Julieta Serrano, María Barranco, Rossy de Palma, Chus Lampreave, Kiti Mánver",Español,Agustín Almodóvar y Antonio Llorens,Pedro Almodóvar,Bernardo Bonezzi,José Luis Alcaine,José María Cossío,El Deseo,,,0
Cinema Paradiso,Giuseppe Tornatore,Italia,1989,Melodrama,155,"Philippe Noiret, Salvatore Cascio, Marco Leonardi, Antonella Attili, Jacques Perrin, Agnese Nano, Brigitte Fosey",Italiano,Franco Cristaldi  Giovanna Romagnoli,Giuseppe Tornatore,Ennio Morricone Andrea Morricone,Blasco Giurato,Beatrice Bulgari,Ariane Films,,13019063,1
Camille Claudel,Bruno Nuytten,Francia,1989,Drama,175,"Isabelle Adjani, Gérard Depardieu",Francés,"Isabelle Adjani, Christian Fechner","Bruno Nuytten, Marilyn Goldin","Claude Debussy, Música original:Gabriel Yared",Pierre Lhomme,Dominique Borg,,,,0
Jesús de Montreal,Denys Arcand,Canadá,1989,Drama,118,Lothaire Bluteau Catherine Wilkening Johanne-Marie Tremblay,Francés,Monique Létourneau,Denys Arcand,Jean-Marie Benoît,Isabelle Dedieu,Louise Jobin,Max Films,,,0
Lo que le pasó a Santiago,Jacobo Morales,Puerto Rico,1989,Comedia,105,"Tommy Muñiz, Gladys Rodríguez, Johanna Rosaly, René Monclova",Español,Blanca Silvia Eró  Pedro Muñiz,Jacobo Morales,Pedro Rivera Toledo,,,,,,0
Viaje a la esperanza,Xavier Koller,Suiza,1990,Drama,110,"Necmettin Cobanoglu, Nur Sürer, Emin Sivas, Yaman Okay, Mathias Gnädinger, Dietmar Schönherr",Turco,"Peter-Christian Fueter, Alfi Sinniger","Feride Çiçekoğlu, Xavier Koller",Nana Vasconcelos,"Elemér Ragályi, Galip Iyitanir",,"Beyond Films, Premium Films",,,1
Cyrano de Bergerac,Jean-Paul Rappeneau,Francia,1990,Comedia,135,"Gérard Depardieu, Anne Brochet, Vincent Pérez, Jacques Weber, Pierre Maguelon, Ludivine Sagnier, Sandrine Kiberlain",Francés,"René Cleitman, Michel Seydoux","Jean-Claude Carrière, Jean-Paul Rappeneau",Jean-Claude Petit,Pierre Lhomme,Franca Squarciapino,Hachette Première et Cie,,,0
Ju Dou,Zhang Yimou,República Popular China,1990,Drama,95,"Gong Li, Li Baotian, Li Wei",Chino mandarín,"Zhang Wenze, Yasuyoshi Tokuma, Hu Jian",Liu Heng,Zhao Jiping,Gu Changwei,,China Film Group Corporation,,1986433,0
Mediterráneo,Gabriele Salvatores,Italia,1991,Comedia,96,"Diego Abatantuono, Claudio Bigagli, Giuseppe Cederna, Claudio Bisio",italianoinglésgriegoturco,"Silvio Berlusconi, Mario Cecchi Gori, Vittorio Cecchi Gori, Gianni Minervini",Enzo Monteleone,"Giancarlo Bigazzi, Marco Falagiani",Italo Petriccione,,"Medusa Film, Silvio Berlusconi Communications",,,1
Oxen,Sven Nykvist,Suecia,1991,Drama,92,"Stellan Skarsgård, Max von Sydow, Liv Ullmann, Erland Josephson, Ewa Fröling, Lennart Hjulström, Björn Granath, Rikard Wolff, Helge Jordal, Agneta Prytz",Sueco,Jean Doumanian,Sven Nykvist,Luboš Fišer,Sven Nykvist,,"Nordisk Film, Nordisk Film & TV Fond",,,0
Dà Hóng Dēnglóng Gāogāo Guà,Zhang Yimou,China,1991,Drama,125,Gong Li,Chino mandarín,Fu-Sheng Chiu,"Su Tong, Ni Zhen",Zhao Jiping,Zhao Fei,Huamiao Tong,Century Communications,,2603061,0
Indochina,Régis  Wargnier,Francia,1992,Drama y romance,148,"Catherine Deneuve, Vincent Perez",Francés,Eric Heumann Jean Labadie,"Erik Orsenna, Louis Gardel, Catherine Cohen, Régis Wargnier",Patrick Doyle,François Catonné,Piérre Yves Gayraud,,,,1
"Urga, el territorio del amor",Nikita Mijalkov,URSS y Francia,1992,Drama,120,"Nikita Mijalkov, Larisa Andreevna Koeznetsova, Vladimir Gostyukhin, Badema, Bayaertu",Ruso,Michel Seydoux,"Rustam Ibrahimbeyov, Nikita Mijalkov",Eduard Artémiev,Vilen Kalyuta,,,,,0
Daens,Stijn Coninx,"Bélgica, Francia, Países Bajos",1992,Drama histórico,138,"Jan Decleir, Gérard Desarthe, Antje de Boeck, Michael Pas",neerlandésfrancéslatínespañol,"Dirk Impens, Jean-Luc Ormières, Maria Peters, Hans Pos, Dave Schram  +","Louis Paul Boon, François Chevallier, Stijn Coninx, Addy Weijers",Dirk Brossé,Walther van den Ende,,,,,0
Un lugar en el mundo,Adolfo Aristarain,Argentina,1992,Drama,120,"José Sacristán, Federico Luppi, Cecilia Roth, Leonor Benedetto, Gastón Batyi, Lorena del Río, Rodolfo Ranni, Hugo Arana, Mariano Ortega",Español,"Adolfo Aristarain, Isidro Miguel, Osvaldo Papaleo","Adolfo Aristarain, Kathy Saavedra, Alberto Lecchi",Emilio Kauderer,Ricardo de Angelis,,,,,0
