Titulo,Director,Pais,Año,Genero,Duración (Minutos),Protagonistas,Idioma,Producción,Guion,Música,Fotografía,Vestuario,Productora,Presupuesto (Dólares),Recaudación (Dólares),Ganador
Hævnen,Susanne Bier,Dinamarca,2010​,Drama,113,"Mikael Persbrandt, Trine Dyrholm, Ulrich Thomsen",danés,Sisse Graum Jørgensen,"Anders Thomas Jensen, Susanne Bier, Per Nielsen",Johan Söderqvist,Morten Søborg,,Zentropa,,,1
Biutiful,Alejandro González Iñárritu,México,2010​,Drama,147,"Javier Bardem, Rubén Ochandiano, Eduard Fernández, Maricel Álvarez, Ana Wagener",Español,"Alejandro González Iñárritu, Jon Kilik, Ann Ruark, Fernando Bovaira, Sandra Hermida, Guillermo del Toro","Alejandro González Iñárritu, Armando Bó Jr.Nicolás Giacobone",Gustavo Santaolalla,Rodrigo Prieto,,"Televisió de Catalunya, Televisión Española, Cha Cha Cha Films, Focus Features International",,25100000,0
Kynódontas,Yorgos Lanthimos,Grecia,2010​,Drama,97,"Christos Stergioglou, Michelle Valley, Aggeliki Papoulia, Mary Tsoni, Christos Passalis, Anna Kalaitzidou",Griego,"Iraklis Mavroidis, Athina Rachel Tsangari, Giorgos Tsourianis","Yorgos Lanthimos, Efthymis Filippou",,Thimios Bakatatakis,,Boo Productions,200000,384147,0
Incendies,Denis Villeneuve,Canadá,2010​,Drama,133,"13 personas, Lubna Azabal, Maxim Gaudette, Rémy Girard, Mélissa Désormeaux-Poulin, Allen Altman, Baya Belal, Mohamed Majd, Frédéric Paquet, John Dunn-Hill, Jackie Sawiris, Hind Kamel, Nabil Sawalha, Robert Auclair",Francés,"Luc Déry, Phoebe Greenberg, Ziad Touma, Anthony Doncque, Kim Mc, Craw, Penny Mancuso, Miléna Poylo","Denis Villeneuve, Wajdi Mouawad, Valérie Beaugrand-Champagne",Grégoire Hetzel,André Turpin,Sophie Lefebvre,Micro_scope,,16025025,0
Hors-la-loi,Rachid Bouchareb,Francia,2010​,Drama,140,"17 personas, Jamel Debbouze, Roschdy Zem, Sami Bouajila, Samir Guesmi, Abdelkader Secteur, Assaâd Bouab, Bernard Blancan, Chafia Boudraa, Christian Crahay, Jean-Pierre Lorit, Larbi Zekkal, Mourad Khen, Sabrina Seyvecou, Thibault de Montalembert, Corentin Lobet, Mohamed Grayaa, Alain Blazquez",Árabe,,Rachid Bouchareb,Armand Amar,Christophe Beaucarne,,,,,0
Yodaí-e Nader az Simín,Asghar Farhadi,Irán,2011​,Drama,123,"Leila Hatami, Payman Maadi, Shahab Hosseini, Sareh Bayat, Sarina Farhadi",Persa,Asghar Farhadi,Asghar Farhadi,Sattar Oraki,Mahmoud Kalari,,,500000,12800000,1
Bullhead,Michaël R. Roskam,Bélgica,2011​,Drama,128,Matthias Schoenaerts  Jeroen Perceval  Barbara Sarafian,Neerlandés,Savage Film,Michaël R. Roskam,Raf Keunen,,,,,,0
In Darkness,Agnieszka Holland,Canadá,2011​,Drama,144,"23 personas, Robert Więckiewicz, Kinga Preis, Agnieszka Grochowska, Maria Schrader, Herbert Knaup, Marcin Bosak, Benno Fürmann, Krzysztof Skonieczny, Julia Kijowska, Michal Zurawski, Piotr Glowacki, Filip Garbacz, Weronika Rosati, Joachim Paul Assböck, Ireneusz Czop, Andrzej Mastalerz, Piotr Nowak, Olena Leonenko, Etel Szyc, Maja Bohosiewicz, Jeremias Koschorz, Frank Köbe, Dorota Liliental",Polaco,Juliusz Machulski,David F. Shamoon,Antoni Łazarkiewicz,Jolanta Dylewska,,,,,0
Monsieur Lazhar,Philippe Falardeau,Canadá,2011​,Drama,94,"Mohamed Fellag, Sophie NélisseÉmilien Néron, Danielle Proulx, Brigitte Poupart, Jules Philip",francés,"Luc Déry, Kim Mc, Craw",Philippe Falardeau,Martin Léon,Ronald Plante,Francesca Chamberland,Micro_Scope,,,0
Amor,Michael Haneke,"Austria, Francia, Alemania",2012​,Drama,127,"Jean-Louis Trintignant, Emmanuelle Riva, Isabelle Huppert",francésinglés,"Margaret Ménégoz, Michael Katz, Veit Heiduschka, Stefan Arndt",Michael Haneke,Franz Schubert,Darius Khondji,,"Ver lista, X-Filme Creative Pool, Wega Film, France 3 cinéma, ARD degeto, Bayerischer Rundfunk, Westdeutscher Rundfunk, Canal+France télévisions",,29900000,1
Kon-Tiki,Joachim Rønning,Noruega,2012​,Histórica,118,"Pål Sverre Hagen, Anders Baasmo Christiansen, Gustaf Skarsgård, Tobias Santelmann",Inglés,"Aage Aaberge, Jeremy Thomas","Petter Skavlan, Allan Scott",Johan Söderqvist,Geir Hartly Andreassen,,Nordisk Film,155000000,228000000,0
No,Pablo Larraín,Chile,2012​,Drama,118,"Gael García Bernal, Alfredo Castro, Luis Gnecco, Néstor Cantillana, Antonia Zegers, Jaime Vadell, Marcial Tagle",Español,Juan de Dios Larraín  Pablo Larraín,"Pedro Peirano, A partir de la obra de teatro El plebiscito de Antonio Skármeta",Carlos Cabezas Rocuant,Sergio Armstrong,,Fábula,,2343664,0
Un asunto real,Nikolaj Arcel,Dinamarca,2012​,Drama,137,"Mads Mikkelsen, Alicia Vikander, Mikkel Følsgaard",danés,"Meta Louise Foldager, Sisse Graum Jørgensen, Louise Vesth",Nikolaj Arcel y Rasmus Heisterberg,"Gabriel Yared, Cyrille Aufort",Rasmus Videbæk,,"DRTVFilm i Väst, Sveriges Television, Zentropa",,6047932,0
War Witch,Kim Nguyen,Canadá,2012​,Drama,90,"Rachel Mwanza, Serge Kanyinda, Alain Lino Mic Eli Bastien","Francés, Lingala","Pierre Even, Marie-Claude Poulin, Kim Nguyen",Kim Nguyen,"Gabriel Yared, Cyrille Aufort",Nicolas Bolduc,,,,,0
La gran belleza,Paolo Sorrentino,Italia  Francia,2013​,"Comedia, drama",142,"29 personas, Toni Servillo, Carlo Verdone, Sabrina Ferilli, Carlo Buccirosso, Iaia Forte, Pamela Villoresi, Galatea Ranzi, Franco Graziosi, Giorgio Pasotti, Massimo Popolizio, Luca Marinelli, Serena Grandi, Vernon Dobtcheff, Dario Cantarelli, Anita Kravos, Massimo De Francovich, Roberto Herlitzka, Isabella Ferrari, Giulio Brogi, Pasquale Petrolo, Claudio Gregori, Fanny Ardant, Ivan Franek, Stefania Barca, Paolo Mazzarelli, Lorenzo Gioielli, Nicola Giuliano, Giusi Merli, Giulia Di Quilio",italiano,Nicola Giuliano  Francesca Cima,Paolo Sorrentino  Umberto Contarello,Lele Marchitelli,Luca Bigazzi,Daniela Ciancio,"Medusa Film, PathéFrance 2Indigo Film",,,1
Jagten,Thomas Vinterberg,Dinamarca,2013​,Drama,115,"Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp, Lasse Folgelstrøm, Susse Wold",Danés,"Morten Kaufmann, Sisse Graum Jørgensen","Tobias Lindholm, Thomas Vinterberg",Nikolaj Egelund,Charlotte Bruus Christensen,,Zentropa Entertainments,,,0
The Missing Picture,Rithy Panh,Camboya,2013​,Documental,92,"Jean-Baptiste Phou, Randal Douc",Francés,Catherine Dussart,Rithy Panh Christophe Bataille,Marc Marder,Prum Mesa,,,49768,52164,0
Omar,Hany Abu-Assad,Palestina,2013​,Suspense,96,"Adam Bakri, Leem Lubany",Árabe,"Hany Abu-Assad Waleed Zuaiter, David Gerson",Hany Abu-Assad,,Ehab Assal,,ZBROS,,,0
Ida,Paweł Pawlikowski,Polonia,2014​,Drama,82,"Agata Trzebuchowska, Agata Kulesza",Polaco,"Eric Abraham, Piotr Dzieciol, Ewa Puszczynska","Paweł Pawlikowski, Rebecca Lenkiewicz",Kristian Eidnes Andersen,"Lukasz Zal, Ryszard Lenczewski","Ola Staszko, Agata Winska","Opus Film, Phoenix Film Investments",,11100000,1
Leviatán,Andréi Zviáguintsev,Rusia,2014​,Drama,141,"Alekséi Serebryakov, Elena Lyádova, Vladímir Vdovichénkov, Román Madyánov",ruso,Alexander Rodnyansky,"Andréi Zviáguintsev, Oleg Neguin",Philip Glass,Mijaíl Krichman,,Non-Stop Production,220000000,245794,0
Mandariinid,Zaza Urushadze,"Estonia, Georgia",2014​,Drama,87,"Lembit Ulfsak, Elmo Nüganen, Mikheil Meskhi, Giorgi Nakashidze, Raivo Trass",estoniorusogeorgiano,"Ivo Felt, Zaza Urushadze",Zaza Urushadze,Niaz Diasamidze,Rein Kotov,,Allfilm,650000,,0
Timbuktu,Abderrahmane Sissako,Mauritania,2014​,Drama,100,"Ibrahim Ahmed, Toulou Kiki, Hichem Yacoubi",Tamashek,"Sylvie Pialat, Etienne Comar","Abderrahmane Sissako, Kessen Tall",Amine Bouhafa,Sofian El Fani,Amy Sow,Arches Films,,,0
Relatos salvajes,Damián Szifron,Argentina,2014​,"Antología, Suspense, Drama, Humor Absurdo, Comedia Oscura",122,"Ricardo Darín, Oscar Martínez, Leonardo SbaragliaÉrica Rivas, Rita Cortese, Julieta Zylberberg, Darío Grandinetti",Español,"Agustín Almodóvar, Pedro Almodóvar, Esther García, Matías Mosteirín, Felipe Photiades, Gerardo Rozín, Hugo Sigman, Axel Kuschevatzky",Damián Szifron,Gustavo Santaolalla,Javier Juliá,,"Kramer & Sigman Films, El Deseo, Telefe, Corner Contenidos",4000000,30642000000000,0
El hijo de Saúl,László Nemes,Hungría,2015​,Drama,107,"Géza Röhrig, Levente Molnár, Urs Rechn",Húngaro,"Gábor Sipos, Gábor Rajna","László Nemes, Clara Royer",László Melis,Mátyás Erdély,Edit Szűcs,Laokoon Filmgroup,,,1
El abrazo de la serpiente,Ciro Guerra,"Argentina, Colombia, Venezuela",2015​,Aventuras,125,"Jan Bijvoet, Brionne Davis, Nilbio Torres, Antonio Bolívar, Yauenkü Migue, Nicolás Cancino, Luigi Sciamanna",Latín,Cristina Gallego,"Ciro Guerra, Jacques Toulemonde Vidal",Nascuy Linares,David Gallego,,"Ciudad Lunar Producciones, Caracol Cine, Norte, Sur Producciones, Buffalo Films, Dago Producciones",15000000,,0
Mustang,Deniz Gamze Ergüven,Francia,2015​,Drama,97,"Güneş Şensoy, Doğa Doğuşlu, Elit İşcan, Tuğba Sunguroğluİlayda Akdoğan",Turco,Charles Gillibert,"Deniz Gamze Ergüven, Alice Winocour",Warren Ellis,"David Chizallet, Ersin Gok",Selin Sozen,CG Cinema,13000000,,0
Theeb,Naji Abu Nowar,"Jordania, Emiratos Árabes Unidos, Reino Unido, Catar",2015​,Drama,100,"Jacir Eid Al-Hwietat, Hussein Salameh Al-Sweilhiyeen",árabe,"Diala Al Raie, Bassel Ghandour, Nasser Kalaj, Yanal Kassay, Rupert Lloyd, Laith Majali, Nadine Toukan","Naji Abu Nowar, Bassel Ghandour",Jerry Lane,Wolfgang Thaler,Jamila Aladdin,"Immortal Entertainment, Bayt Al Shawareb, Noor Pictures",,,0
Krigen,Tobias Lindholm,Dinamarca,2015​,Cine bélico,115,"Johan Philip Asbæk, Søren Malling, Dulfi al-Jabouri, Dar Salim, Charlotte Munck, Tuva Novotny, Petrine Agger, Alex Høgh Andersen, Christian ""Krølle"" Pedersen, David Barrett",Danés,"René Ezra, Tomas Radoor",Tobias Lindholm,Sune Rose Wagner,Magnus Nordenhof Jønck,,Nordisk Film,,,0
Forushandeh,Asghar Farhadi,"Irán, Francia",2016​,Drama,125,"Shahab Hosseini, Taraneh Alidoosti",Persa,"Alexandre Mallet-Guy, Asghar Farhadi",Asghar Farhadi,Sattar Oraki,Hossein Jafarian,,,,,1
Under sandet,Martin Zandvliet,Dinamarca,2016​,Cine bélico,101,"Roland Möller, Mikkel Følsgaard, Louis Hofmann, Joel Basman, Emil Belton, Oskar Belton, Oskar Bökelmann, Leon Seidel, Joel Basman, Karl Alexander Seidel, Maximilian Beck",Alemán,Mikael Rieks,Martin Zandvliet,,Camilla Hjelm Knudsen,Stefanie Bieker,Nordisk Film ST,,355000000,0
Un hombre llamado Ove,Hannes Holm,Suecia,2016​,drama,116,"Rolf Lassgård, Bahar Pars, Filip Berg, Ida Engvoll, Chatarina Larsson, Johan Widerberg, Anna-Lena Bergelin",sueco,"Annica Bellander, Nicklas Wikström Nicastro",Hannes Holm,Gaute Storaas,Göran Hallberg,Camilla Lindblom,Tre Vänner,,258000000,0
Tanna,"Martin Butler, Bentley Dean",Australia,2016​,Drama,100,"Marie Wawa, Mungau Dain",Nauvhal,"Carolyn Johnson, Bentley Dean, Martin Butle","Martin Butler, Bentley Dean, John Collee",Anthony Partos,Bentley Dean,,Lightyear Entertainment,,,0
Toni Erdmann,Maren Ade,"Alemania, Austria",2016​,Drama,162,"Peter Simonischek, Sandra Hüller, Michael Wittenborn, Thomas Loibl, Trystan Pütter, Hadewych Minis, Lucy Russell, Ingrid Bisu, Vlad Ivanov, Victoria Cocias",alemáninglésrumano,"Maren Ade, Jonas Dornbach, Janine Jackowski",Maren Ade,Patrick Veigel,Patrick Orth,,"Komplizen Film​Coop99KNMMissing Link Films, SWRWDRArte",,7100000,0
Una mujer fantástica,Sebastián Lelio,Chile,2017​,Drama,104,"Daniela Vega, Francisco Reyes",Español,"Juan de Dios Larraín, Pablo Larraín, Sebastián Lelio, Gonzalo Maza","Sebastián Lelio, Gonzalo Maza",Matthew Herbert,Benjamín Echazarreta,,"Fábula, Komplizen Film",,3730327,1
El insulto,Ziad Doueiri,Líbano,2017​,Drama,112,"Adel Karam, Kamel El Basha, Rita Hayek, Julia Kassar",Árabe,"Rachid Bouchareb, Jean Bréhat, Julie Gayet, Antoun Sehnaoui, Nadia Turincev","Ziad Doueiri, Joelle Touma",Éric Neveux,Tommaso Fiorilli,,"Ezekiel Films, Tessalit Productions, Rouge International",,,0
Sin amor,Andréi Zviáguintsev,Rusia,2017​,Drama,128,"Aleksey Rozin, Mariana Spivak, Andris Keišs, Vladimir Vdovichenkov, Evgeniya Dmitrieva",Ruso,"Alexander Rodnyansky, Sergey Melkumov, Gleb Fetisov","Oleg Negin, Andréi Zviáguintsev","Evgueni Galperine, Sacha Galperine",Mikhail Krichman,,"Non-Stop Production, Arte France Cinéma, Les Films du Fleuve, Why Not Productions, Senator Film Produktion",,4819164,0
En cuerpo y alma,Ildikó Enyedi,Hungría,2017​,Drama,116,"11 personas, Géza Morcsányi, Alexandra Borbély, Zoltán Schneider, Ervin Nagy, Réka TenkiÉva Bata, Tamás Jordán, Itala Békés, Zsuzsa JáróPál Mácsai, Júlia Nyakó",Húngaro,"Ernő Mesterházy, András Muhi, Mónika Mécs",Ildikó Enyedi,Ádám Balázs,Máté Herbai,,Inforg-M&M Film,,,0
The square,Ruben Östlund,Suecia,2017​,Drama,151,"16 personas, Claes Bang, Elisabeth Moss, Dominic West, Terry Notary, Sofie Hamilton, Christopher LæssøJohan Jonason, Stefan Gödicke, Julia Sporre, John Nordling, Annica Liljeblad, Per Magnus Johansson, Daniel Hallberg, Marga Pettersson, Moa Enqvist Stefansdotter, Bo Melin",Inglés,"Erik Hemmendorff, Philippe Bober",Ruben Östlund,,Fredrik Wenzel,,,,,0
Roma,Alfonso Cuarón,México,2018​,Drama,135,"Yalitza Aparicio, Marina de Tavira, Jorge Antonio Guerrero",Español,"Alfonso Cuarón, Gabriela Rodríguez, Nicolás Celis",Alfonso Cuarón,,"Alfonso Cuarón, Galo Olivares",,"Participant Media, Esperanto Filmoj",15000000,51000000,1
Cafarnaúm,Nadine Labaki,Líbano,2018​,Drama,123,"Zain Al Rafeea, Yordanos Shiferaw, Boluwatife Treasure Bankole",Árabe,"Michel Merkt, Khaled Mouzanar","Nadine Labaki, Jihad Hojaily  Michelle Keserwany  Georges Khabbaz  Khaled Mouzanar",Khaled Mouzanar,Christopher Aoun,,Mooz Films,4000000,68583867,0
Cold War,Paweł Pawlikowski,Polonia,2018​,Drama,84,"12 personas, Joanna Kulig, Tomasz Kot, Jeanne Balibar, Cédric Kahn, Adam Woronowicz, Adam Ferency, Agata Kulesza, Borys Szyc, Adam Szyszkowski, Aleksandra Yermak, Slavko Sobin, Krzysztof Materna",Polaco,"Ewa Puszczyńska, Tanya Seghatchian","Janusz Głowacki, Paweł Pawlikowski, Piotr Borkowski",Marcin Masecki,Łukasz Żal,Aleksandra Staszko,Film4 Productions,,25000000,0
Manbiki Kazoku,Hirokazu Koreeda,Japón,2018​,Drama,121,"23 personas, Lily Franky, Sakura Ando, Mayu Matsuoka, Sosuke Ikematsu, Naoto Ogata, Yoko Moriguchi, Yūki Yamada, Kirin Kiki, Moemi Katayama, Kengo Kora, Chizuru Ikewaki, Akira Emoto, Kairi JōMiyu Sasaki, Aju Makita, Yuki Yamada, Daisuke Kuroda, Izumi Matsuoka, Kazuaki Shimizu, Hajime Inoue, Katsuya Maiguma, Shinsuke Kasai, Mana Mikami",Japonés,"Matsuzaki Kaoru, Yose Akihiko, Taguchi Hijiri",Hirokazu Koreeda,Haruomi Hosono,Kondo Ryuto,,"Aoi Pro, Inc.",,22835787,0
Never Look Away,Florian Henckel von Donnersmarck,Alemania,2018​,Drama,188,"28 personas, Tom Schilling, Sebastian Koch, Paula Beer, Saskia Rosendahl, Ina Weisse, Oliver Masucci, Evgeny Sidikhin, Ulrike C. Tscharre, Hanno Koffler, Florian Bartholomäi, Hans Uwe Bauer, Cai Cohrs, Ben Becker, Antonia Bill, Rainer Bock, Jonas Dassler, Jacob Matschenz, Lars Eidinger, Johanna Gastdorf, Jeanette Hain, Franz Pätzold, Sebastian Rudolph, Hinnerk Schönemann, Eva Maria Jost, Jörg Schüttauf, David Schütter, Hannes Hellmann, Konstantin Frolov",Alemán,"Quirin Berg, Florian Henckel von Donnersmarck, Jan Mojto, Max Wiedemann",Florian Henckel von Donnersmarck,Max Richter,Caleb Deschanel,,CJ Entertainment,,4910420,0
Gisaengchung,Bong Joon-ho,Corea del Sur,2019​,Drama,132,"Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong, Choi Woo-shik, Park So-dam, Jung Ji-so",Coreano,"Bong Joon-ho, Kwak Sin-ae","Bong Joon-ho, Han Jin-won",Jeong Jae-il,Hong Kyung-pyo​,,Barunson E&ACJ Entertainment,13500000000,254088600,1
Boże Ciało,Jan Komasa,Polonia,2019​,Drama,115,"14 personas, Bartosz Bielenia, Aleksandra Konieczna, Eliza Rycembel, Tomasz Ziętek, Barbara Kurzaj, Leszek LichotaŁukasz Simlat, Zdzisław Wardejn, Lidia Bogaczówna, Bogdan Brzyski, Juliusz Chrząstowski, Helena Norowicz, Dariusz Starczewski, Marta Waldera",Polaco,"Aneta Hickinbotham, Leszek Bodzak",Mateusz Pacewicz,"Evgueni Galperine, Sacha Galperine",Piotr Sobociński junior,Dorota Roqueplo,Aurum Film,,,0
Honeyland,Tamara Kotevska,Macedonia del Norte,2019​,Documental,89,,Turco,"Ljubomir Stefanov, Atanas Georgiev",,Foltin,"Samir Ljuma, Fejmi Daut",,,,840083,0
Les Misérables,Ladj Ly,Francia,2019​,Drama,103,"Damien Bonnard, Jeanne Balibar, Issa Perica",Francés,"Christophe Barral, Toufik Ayadi","Ladj Ly, Giordano Gederlini, Alexis Manenti",,Julien Poupard,,SRAB Films,,16819027,0
Dolor y gloria,Pedro Almodóvar,España,2019​,Drama,108,"Antonio Banderas, Asier Etxeandia, Julieta Serrano, Leonardo Sbaraglia, Nora Navas, Penélope Cruz, Cecilia Roth, Susi Sánchez, Julián López, Raúl Arévalo, Rosalía",Español,"Agustín Almodóvar, Esther García Rodríguez",Pedro Almodóvar,Alberto Iglesias,José Luis Alcaine Escaño,,El Deseo,,38080034,0
Otra ronda,Thomas Vinterberg,Dinamarca,2020​,Comedia,115,"Mads Mikkelsen, Thomas Bo Larsen, Magnus Millang, Lars Ranthe",Danés,"Sisse Graum Jørgensen, Kasper Dissing","Thomas Vinterberg, Tobias Lindholm",Janus Billeskov Jansen,Sturla Brandth Grøvlen,"Ellen Lens, Manon Rasmussen","Zentropa, Film i Väst, Topkapi Films",,,1
Better Days,Derek Tsang,Hong Kong,2020​,"Bullying, Romance, Drama,Escuela, Psicológico",135,"Zhou Dongyu, Jackson Yee",Mandarín,Xu Yuezhen,"Lam Wing Sum, Li Yuan, Xu Yimeng",Varqa Buehrer,Yu Jing-Pin,,,,223924428,0
Colectiv,Alexander Nanau,Rumanía,2020​,Documental,109,,Rumano,"Alexander Nanau, Bianca Oana, Bernard Michaux, Hanka Kastelicová","Alexander Nanau, Antoaneta Opriș",Kyan Bayani,Alexander Nanau,,"Alexander Nanau Production, Samsa Film Luxembourg, HBO Europe, Mitteldeutscher Rundfunk, Radio Télévision Suisse, Radiotelevisione svizzera di lingua italiana, YES Docu",,147875,0
El hombre que vendió su piel,Kaouther Ben Hania,Francia,2020​,Drama,104,"Koen De Bouw, Christian Vadim, Monica Bellucci, Yahya Mahayni",Árabe,,Kaouther Ben Hania,,,,,,,0
"Quo Vadis, Aida?",Jasmila Žbanić,"Bosnia y Herzegovina, Austria, Alemania, Francia, Holanda, Noruega, Polonia, Rumania, Turquía",2020​,Drama,101,"Jasna ĐuričićIzudin BajrovićBoris Ler, Boris IsakovićJohan Heldenbergh, Raymond Thiry, Emir HadžihafizbegovićMadita, Dino Bajrović","Bosnio, Inglés, Serbio, Neerlandés",Damir IbrahimovićJasmila Žbanić,Jasmila Žbanić,Antoni Łazarkiewicz,Christine A. Maier,,"Coop99Deblokada, Razor Film, Tordenfilm, Türkiye Radyo Televizyon Kurumu",35000000,,0
Drive My Car,Ryūsuke Hamaguchi,Japón,2021​,Drama,179,"Hidetoshi Nishijima, Tōko Miura, Reika Kirishima",Japonés,Teruhisa Yamamoto,"Ryūsuke Hamaguchi, Takamasa Oe",Eiko Ishibashi,Hidetoshi Shinomiya,,"C&I Entertainment, Culture Entertainment, Bitters End",,5293375,1
Flee,Jonas Poher Rasmussen,"Estados Unidos, Reino Unido, Francia, Suecia, Noruega, Dinamarca",2021​,Documental,90,,"Inglés, Danés","Monica Hellström, Signe Byrge Sørensen, Charlotte de La Gournerie","Jonas Poher Rasmussen, Amin",Uno Helmersson,,,"Vice Studios, Left Handed Films, RYOT Films, Final Cut for Real, Sun Creature Studio, Vivement Lundi, Most, Film, Mer, Film, Arte, Danish Film Institute, Swedish Film Institute, SVTNorwegian Film Institute, Nordisk Film & TV Fond, Copenhagen Film Fund, West Danish Film Fund, Creative Europe, Movistar Plus, I Wonder Pictures, CNCFritt Ord",,457956,0
Fue la mano de Dios,Paolo Sorrentino,Italia,2021​,Drama,130,"Toni Servillo, Luisa Ranieri, Lino Musella",Italiano,,Paolo Sorrentino,Lele Marchitelli,Daria D'Antonio,Mariano Tufano,,,,0
Lunana: A Yak in the Classroom,Pawo Choyning Dorji,Bután,2021​,Drama,109,"Sherab Dorji, Ugyen Norbu Lhendup, Kelden Lhamo Gurung, Kunzang Wangdi",Dzongkha,Pawo Choyning Dorji,Pawo Choyning Dorji,,Jigme Tenzing,,Dangphu Dingphu:a 3 pigs Production,,,0
The Worst Person in the World,Joachim Trier,Noruega,2021​,Comedia dramática,128,Anders Danielsen Lie,Noruego,"Andrea Berentsen Ottmar, Thomas Robsahm","Joachim Trier, Eskil Vogt",Ola Fløttum,Kasper Tuxen,,"Film i Väst, B-Reel Films",5000000,126000000,0
Sin novedad en el frente,Edward Berger,Alemania,2022​,Acción,147,"Felix Kammerer, Albrecht Schuch, Aaron Hilmer, Edin HasanovićDaniel Brühl, Thibault de Montalembert, Devid Striesow",Alemán,"Malte Grunert, Daniel Dreifuss, Edward Berger, Thorsten Schumacher, Lesley Paterson, Ian Stokell","Edward Berger, Ian Stokell, Lesley Paterson",Volker Bertelmann,James Friend,Lisy Christl,Amusement Park Films  Sliding Down Rainbows Entertainmen,,,1
"Argentina, 1985",Santiago Mitre,"Argentina, Estados Unidos",2022​,Drama histórico,140,"Ricardo Darín, Peter Lanzani",español,"Victoria Alonso, Santiago Carabante, Chino Darín, Ricardo Darín, Axel Kuschevatzky, Agustina Llambi-Campbell, Santiago Mitre, Federico Posternak, Cindy Teperman","Santiago Mitre, Mariano Llinás",Pedro Osuna,Javier Juliá,Mónica Toschi,"La Unión de los Ríos, Kenya Films, Infinity Hill",,,0
Close,Lukas Dhont,"Bélgica, Países Bajos, Francia",2022​,Drama,105,"Eden Dambrine, Gustav de WaeleÉmilie Dequenne, Léa Drucker",Francés,"Dirk Impens, Michiel Dhont","Lukas Dhont, Angelo Tijssens",Valentin Hadjadj,Frank van den Eeden,,"Menuet, Diaphana Films, Topkapi Films, Versus Production",,,0
EO,Jerzy Skolimowski,Polonia,2022​,Drama,88,"Sandra Drzymalska, Lorenzo Zurzolo, Mateusz Kościukiewicz, Isabelle Huppert, Saverio Fabbri",Polaco,"Jerzy Skolimowski, Ewa Piaskowska","Jerzy Skolimowski, Ewa Piaskowska",Paweł Mykietyn,Michał Dymek,,"Skopia Film, Alien Films",,,0
The Quiet Girl,Colm Bairéad,Irlanda,2022​,Drama,95,"Catherine Clinch, Carrie Crowley, Michael Patric, Andrew Bennett, Kate Nic Chonaonaigh",Irlandés,,Colm Bairéad,,"Kate Mc, Cullough",,,,3303485,0
The Zone of Interest,Jonathan Glazer,Reino Unido,2023​,Suspenso psicológico,105,"12 personas, Sandra Hüller, Christian Friedel, Ralph Herforth, Daniel Holzberg, Sascha Maaz, Freya Kreutzkam, Imogen Kogge, Lilli Falk, Maximilian Beck, Medusa Knopf, Marie Rosa Tietjen, Stephanie Petrowitz","Alemán, Polaco, Yidis",Ewa Puszczyńska,Jonathan Glazer,Mica Levi,Łukasz Żal,,"A24_Film4 Productions, House Productions, Extreme Emotions",15000000,52798191,1
Yo capitán,Matteo Garrone,Italia,2023​,Drama,121,"Isaka Sawadogo, Affif Ben Badra, Hichem Yacoubi, Joseph Beddelem, Oumar Diaw, Mariam Kaba, Princess Erika, Cheikh Ndiaye",Francés,"Matteo Garrone, Joseph Rouschop, Ardavan Safaee, Paolo Del Brocco","Massimo Gaudioso, Matteo Garrone, Massimo Ceccherini, Andrea Tagliaferri",Andrea Farri,Paolo Carnera,,"Rai Cinema, Tarantula, Tarantula Belgique",,6452784,0
Perfect Days,Wim Wenders,Japón,2023​,Drama,123,"Kōji Yakusho, Tokio Emoto, Aoi Yamada, Yumi Asou, Sayuri Ishikawa, Tomokazu Miura, Min Tanaka, Morio Agata, Morooka Moro, Yoneko Matsukane",Japonés,"Kōji Yakusho, Wim Wenders","Takuma Takasaki, Wim Wenders",,Franz Lustig,,"Master Mind Limited, Wim Wenders Productions",,25631936,0
La sociedad de la nieve,Juan Antonio Bayona,España,2023​,Aventuras,144,"Enzo Vogrincic, Matías Recalt, Agustín Pardella, Felipe Otaño, Luciano Chatton, Valentino Alonso, Francisco Romero, Agustín Berruti, Andy Pruss Manuela Olivera, Simón Hempe, Juan Caruso",Español,"Belén Atienza, Sandra Hermida, J. A. Bayona","J. A. Bayona, Bernat Vilaplana, Jaime Marqués, Nicolás Casariego",Michael Giacchino,Pedro Luque,Julio Suárez,"Misión de Audaces Films, El Arriero Films, Netflix",60000000,,0
La sala de profesores,İlker Çatak,Alemania,2023​,Drama,99,"Leonie Benesch, Michael Klammer, Rafael Stachowiak, Anne-Kathrin Gummich, Eva Löbau, Kathrin Wehlisch, Sarah Bauerett, Lisa Marie Trense, Uygar TamerÖzgür Karadeniz",Alemán,Ingo Fliess,"İlker Çatak, Johannes Duncker",Marvin Miller,Judith Kaufmann,,"Arte, ZDF",,2844432,0
